タイトル / Title,著者・作成者 / Creator,別表記タイトル / Other Title,種別 / Type,言語 / Langage,年月日 / Date,NCID,雑誌名 / Journal,巻 / Volume,号 / Number,"ページ数, 冊数 / Pages, Volumes",大きさ / Size,専攻 / Department,注記 / Note,請求記号 / Call Number,所蔵図書室 / Holding Library,タグ / Tag,ID,ウェブサイトURL,アイテムURL,利用条件,サムネイル,機械可読ドキュメント,帰属,IIIFマニフェストURI,# of media
On the Preparation of Cyanamide of Calcium,亀山 直人|Kameyama Naoto,カルシウム・サイアナマイドの製法に就て,紀要論文|Bulletin Paper,英語|English,1920,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",10,8,p.173-207,,,,,工2号館図書室|Engineering Bldg. 2 Library,,01a3aba1-917a-477e-b29c-31b9816e9676,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/01a3aba1-917a-477e-b29c-31b9816e9676,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68927,,,0
Studies on Calcium Cyanamide,亀山 直人|Kameyama Naoto,カルシウム・サイアナマイドに關する研究,紀要論文|Bulletin Paper,英語|English,1920,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",10,9,p.209-247,,,,,工2号館図書室|Engineering Bldg. 2 Library,,c2266636-d796-422d-a570-5f8c405f5a97,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/c2266636-d796-422d-a570-5f8c405f5a97,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68928,,,0
Heat of Combustion and Heat of Formation of Calcium Cyanamide,亀山 直人|Kameyama Naoto,カルシウム・サイアナマイドの發熱量及生成熱に就て,紀要論文|Bulletin Paper,英語|English,1920,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",10,10,p.249-263,,,,,工2号館図書室|Engineering Bldg. 2 Library,,59379634-3c2f-4b27-8d3f-e8d2fb5fecc1,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/59379634-3c2f-4b27-8d3f-e8d2fb5fecc1,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68929,,,0
On the Constitution of Thiofluorescein and its Technical Applications,牧 鋭夫|Maki Toshio,硫化フルオレスセインの構造並に其應用,紀要論文|Bulletin Paper,英語|English,1920,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,1,p.1-38,,,,,工2号館図書室|Engineering Bldg. 2 Library,,fcf65055-920e-4aad-bd4f-2b315b38c644,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/fcf65055-920e-4aad-bd4f-2b315b38c644,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68930,,,0
A New Rule for the Calculation of the Moment of a Plane Figure about its Middle Ordinate,横田 成年|Yokota Seinen,中央の縦軸に對する平面積のモーメントを計算する新規則,紀要論文|Bulletin Paper,英語|English,1921,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,2,p.39-42,,,,,工2号館図書室|Engineering Bldg. 2 Library,,5d92545e-d842-42c3-b495-51323a0798c5,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/5d92545e-d842-42c3-b495-51323a0798c5,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68931,,,0
"Proof of the General Formula to find the Speed of a Ship, Air Resistance being neglected",横田 成年|Yokota Seinen,空氣の抵抗を省略せる場合に船の速さを求むる一般式の證明,紀要論文|Bulletin Paper,英語|English,1921,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,2,p.43-45,,,,,工2号館図書室|Engineering Bldg. 2 Library,,e341c951-474f-4aaf-937d-61b4fc8be14b,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/e341c951-474f-4aaf-937d-61b4fc8be14b,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68932,,,0
On the Nature of Drifting Sands As Affecting Harbor Construction on Sandy Coasts,廣井 勇|Hiroi Isami (Isamu),砂濱に於ける築港工事に影響する漂砂性質に就て,紀要論文|Bulletin Paper,英語|English,1921,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,3,p.47-82,,,,,工2号館図書室|Engineering Bldg. 2 Library,,b1436455-a095-40e8-9536-22a634f4990f,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/b1436455-a095-40e8-9536-22a634f4990f,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68933,,,0
On the Geometrical Isomerism of Isosafrol,永井 彰一郎|Nagai Shoichiro,イソサフロールの幾何異性に就て,紀要論文|Bulletin Paper,英語|English,1921,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,4,p.83-110,,,,,工2号館図書室|Engineering Bldg. 2 Library,,c00ed35b-81c9-4975-a3bd-4df61ce517de,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/c00ed35b-81c9-4975-a3bd-4df61ce517de,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68934,,,0
On the Graphitic Nature of the Carbon of Lime-Nitrogen,亀山 直人|Kameyama Naoto,石灰窒素の石墨性に就て,紀要論文|Bulletin Paper,英語|English,1921,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,5,p.111-128,,,,,工2号館図書室|Engineering Bldg. 2 Library,,a8b1fb97-ea84-46e9-8f27-9f75b5e7e117,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/a8b1fb97-ea84-46e9-8f27-9f75b5e7e117,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68935,,,0
General Expression for Stress-Components as applied to a Problem in Bipolar Co-ordinates,横田 成年|Yokota Seinen,双極坐標の一問題に應用せる迫力成分の一般式,紀要論文|Bulletin Paper,英語|English,1921,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,6,p.129-136,,,,,工2号館図書室|Engineering Bldg. 2 Library,,b4424506-0248-45ba-8207-7bd489ec61c9,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/b4424506-0248-45ba-8207-7bd489ec61c9,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68936,,,0
The Electrolytic Dissociation of Cyanamide and Some of Its Salts in Aqueous Solutions,亀山 直人|Kameyama Naoto,水溶液に於けるチヤナミド及び其鹽類の電離,紀要論文|Bulletin Paper,英語|English,1922,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,7,p.137-184,,,,,工2号館図書室|Engineering Bldg. 2 Library,,ecc5548c-3f31-45b4-b202-78d745a8ac7b,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/ecc5548c-3f31-45b4-b202-78d745a8ac7b,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68937,,,0
The Electrolytic Dissociation of Dicyanodiamide in Aqueous Solution,亀山 直人|Kameyama Naoto,水溶液に於けるデイチアン・デイアミドの電離,紀要論文|Bulletin Paper,英語|English,1922,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,7,p.185-191,,,,,工2号館図書室|Engineering Bldg. 2 Library,,865f17b0-2a17-44a4-8d37-0eb3092b4342,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/865f17b0-2a17-44a4-8d37-0eb3092b4342,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68938,,,0
Theory of Composite Beams and of Composite Columns,井口 在屋|Inokuchi (Inokuty) Ariya,合成梁と合成柱に關する理論,紀要論文|Bulletin Paper,英語|English,1922,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,8,p.193-199,,,,,工2号館図書室|Engineering Bldg. 2 Library,,ade1e588-4043-4869-81ee-c34e5a75270c,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/ade1e588-4043-4869-81ee-c34e5a75270c,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68939,,,0
The Stability and Stabilization of Cellulose Nitrates for Celluloid,厚木 勝基|Atsuki Katsumoto,セルロイド用硝化繊維素の安定度及安定法,紀要論文|Bulletin Paper,英語|English,1922,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,9,p.201-252,,,,,工2号館図書室|Engineering Bldg. 2 Library,,f818feca-ea60-458d-864b-6d352c5e4310,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/f818feca-ea60-458d-864b-6d352c5e4310,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68940,,,0
Resistance of Flat Bodies falling upon the Surface of Water,青木 保|Aoki Tamotsu,水面に落下する扁平體の受ける抵抗,紀要論文|Bulletin Paper,英語|English,1922,AA00697694,"The journal of the College of Engineering, Tokyo Imperial University",11,10,p.253-281,,,,,工2号館図書室|Engineering Bldg. 2 Library,,a05333d0-7393-4b65-8607-bb20b45dc534,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/a05333d0-7393-4b65-8607-bb20b45dc534,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68941,,,0
本邦鐵道車輛の連結器改造に就て,佐野 清風|Sano Seifu,On the Improvement of the Coupling of Japanese Railway Carriages,紀要論文|Bulletin Paper,日本語|Japanese,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",12,1,p.1-29,,,,,工2号館図書室|Engineering Bldg. 2 Library,,f37e96aa-128c-49f1-9ebb-dc9a39a7307e,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/f37e96aa-128c-49f1-9ebb-dc9a39a7307e,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68942,,,0
The Solubility and Viscosity of Cellulose Nitrate for Celluloid,厚木 勝基|Atsuki Katsumoto,セルロイド用硝化繊維素の溶解度及粘度,紀要論文|Bulletin Paper,英語|English,1922,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,1,p.1-39,,,,,工2号館図書室|Engineering Bldg. 2 Library,,b69629e4-87cd-42a4-95ec-d9358ccd57b9,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/b69629e4-87cd-42a4-95ec-d9358ccd57b9,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68943,,,0
Studies on Naphthenic Acids. I. Production of Pure Mixed Naphthenic Acids from Waste Lyes of Petroleum Refining,田中 芳男|永井 彰一郎|Tanaka Yoshio|Nagai Shoichiro,石油ナフテン酸の研究(第一報)、秋田黒川系輕油精製の廢曹達液より純混合ナフテン酸の分離,紀要論文|Bulletin Paper,英語|English,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,2,p.41-53,,,,,工2号館図書室|Engineering Bldg. 2 Library,,68b65938-71dc-4a02-82b2-b67e164bc3ee,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/68b65938-71dc-4a02-82b2-b67e164bc3ee,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68944,,,0
Studies on Naphthenic Acids. II. Composition of Naphthenic Acid from Waste Lyes of Petroleum Refining,田中 芳男|永井 彰一郎|Tanaka Yoshio|Nagai Shoichiro,石油ナフテン酸の研究(第二報)、秋田黒川系石油ナフテン酸の成分,紀要論文|Bulletin Paper,英語|English,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,2,p.55-60,,,,,工2号館図書室|Engineering Bldg. 2 Library,,515dd26e-b2b1-4d27-88df-63942d6e57a8,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/515dd26e-b2b1-4d27-88df-63942d6e57a8,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68945,,,0
Supplementary Notes On the Heat of Formation of Calcium Cyanamide,亀山 直人|Kameyama Naoto,カルシウム・チアナミドの生成熱に就て(補遺),紀要論文|Bulletin Paper,英語|English,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,3,p.61-71,,,,,工2号館図書室|Engineering Bldg. 2 Library,,be1710d9-2f0b-485f-983c-5bf696b09b24,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/be1710d9-2f0b-485f-983c-5bf696b09b24,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68946,,,0
Behaviour of Calcium Cyanamide Heated in Nitrogen at High Temperatures,亀山 直人|Kameyama Naoto,窒素瓦斯中にて高温度に熱せられたるカルシウム・チアナミドの性質に就て,紀要論文|Bulletin Paper,英語|English,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,3,p.73-102,,,,,工2号館図書室|Engineering Bldg. 2 Library,,ad6779db-bfe3-4e5a-a3f8-5b775761f8d4,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/ad6779db-bfe3-4e5a-a3f8-5b775761f8d4,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68947,,,0
Improvements in Gun-Construction and Allied Problems,谷村 豊太郎|Tanimura Toyotaro,火砲構造の改良,紀要論文|Bulletin Paper,英語|English,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,4,p.103-184,,,,,工2号館図書室|Engineering Bldg. 2 Library,,fe4916b9-aa03-4d55-a633-cdc56d3d934e,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/fe4916b9-aa03-4d55-a633-cdc56d3d934e,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68948,,,0
Studies on the Preparation of Heliotropine from Isosafrol and α-Homoheliotropine from Safrol by Ozone,永井 彰一郎|Nagai Shoichiro,オゾーン酸化に依るヘリオトロピン及びホモヘリオトロピンの製法に就て,紀要論文|Bulletin Paper,英語|English,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,5,p.185-192,,,,,工2号館図書室|Engineering Bldg. 2 Library,,1e9726a5-8883-428e-b584-8285154cfade,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/1e9726a5-8883-428e-b584-8285154cfade,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68949,,,0
Some Model Investigation About the Motion of Sand Along a Self-Formed Channel,中山 秀三郎|Nakayama Hidesaburo,自成水路に於ける流砂量に關する實驗,紀要論文|Bulletin Paper,英語|English,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,6,p.193-253,,,,,工2号館図書室|Engineering Bldg. 2 Library,,6ace8a03-67cb-42d2-89fa-8c43722deb08,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/6ace8a03-67cb-42d2-89fa-8c43722deb08,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68950,,,0
"On the Drift of Ships caused by the Rolling among Waves, and the orbital Motion of the Centre of Gravity of Ships rolling among Waves",末廣 恭二|佐藤 兌|成毛 實|Suehiro (Suyehiro) Kyoji|Sato Naoshi|Narumo Minoru,波濤上に於ける横動揺の爲め誘起せらるる船舶の横漂流及其際に於ける船舶の重心點の運動に就て,紀要論文|Bulletin Paper,英語|English,1923,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,7,p.255-269,,,,,工2号館図書室|Engineering Bldg. 2 Library,,57eefe52-cb18-44ba-b1be-7d99cc7f35a7,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/57eefe52-cb18-44ba-b1be-7d99cc7f35a7,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68951,,,0
The Electrolysis of the Aqueous Solution of Cyanamide,亀山 直人|Kameyama Naoto,シアナミドの水溶液の電氣分解,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",13,8,p.271-310,,,,,工2号館図書室|Engineering Bldg. 2 Library,,524311d4-9477-449f-8a00-e5e530015528,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/524311d4-9477-449f-8a00-e5e530015528,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68952,,,0
齒車ノ上齒高ト接觸弧ノ長サニ就テ,丹羽 重光|Niwa Shigeteru,On the Height of Addendum and the Length of Arc of Contact in Spur Wheels,紀要論文|Bulletin Paper,日本語|Japanese,1932,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",14,1,p.1-76,,,,,工2号館図書室|Engineering Bldg. 2 Library,,fae351e4-b402-435c-8be0-8c4cf1129efe,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/fae351e4-b402-435c-8be0-8c4cf1129efe,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68953,,,0
On Different Solutions of a Problem of Elasticity in Bipolar Co-ordinates,横田 成年|Yokota Seinen,双曲坐標を用ひたる彈性學の一問題に對する種々の解に就て,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,1,p.1-4,,,,,工2号館図書室|Engineering Bldg. 2 Library,,e9af0ccf-02a3-48e4-b967-e7cb0a9d39be,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/e9af0ccf-02a3-48e4-b967-e7cb0a9d39be,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68954,,,0
Form of a Circular Ring under a Pair of Diametrically Opposite Forces,横田 成年|Yokota Seinen,圓輪の直徑の兩端に一對の向ひたる力が働くときの圓輪の形,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,1,p.5-8,,,,,工2号館図書室|Engineering Bldg. 2 Library,,fe90012e-e61d-4e68-b9ee-2ae9585b3a98,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/fe90012e-e61d-4e68-b9ee-2ae9585b3a98,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68955,,,0
A New Method of Numerical Calculation of the Argument of an Elliptic Function,横田 成年|Yokota Seinen,橢圓積分計算の一新法,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,2,p.9-12,,,,,工2号館図書室|Engineering Bldg. 2 Library,,ac14d7a5-8032-4755-9e0b-22f9f3814db0,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/ac14d7a5-8032-4755-9e0b-22f9f3814db0,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68956,,,0
A Study on the Periodic Temperature Variation in the Internal Combustion Engine,竹村 勘忢|Takemura Kango,内燃機關に於ける温度の周期的變化に就て,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,3,p.13-53,,,,,工2号館図書室|Engineering Bldg. 2 Library,,01cea79b-4f63-4ea0-a646-f376d74a25fa,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/01cea79b-4f63-4ea0-a646-f376d74a25fa,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68957,,,0
"The Nitrates of Oxycelluloses, Hydrocelluloses, and Cellulose Hydrates, and their Relations to the Properties of Cellulose Nitrate and Celluloid",厚木 勝基|Atsuki Katsumoto,酸化及水化繊維素硝化物,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,4,p.55-108,,,,,工2号館図書室|Engineering Bldg. 2 Library,,932b1ad1-6353-4014-b6fe-588f869e34b1,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/932b1ad1-6353-4014-b6fe-588f869e34b1,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68958,,,0
The strength of film of cellulose nitrate plastics,厚木 勝基|Atsuki Katsumoto,,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,4,p.109-116,,,,,工2号館図書室|Engineering Bldg. 2 Library,,f70a7137-0fbd-4171-b0b3-8f60f40aa796,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/f70a7137-0fbd-4171-b0b3-8f60f40aa796,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68959,,,0
Wood Cellulose Nitrate as the Material for Celluloid,厚木 勝基|Atsuki Katsumoto,硝化木繊維素,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,5,p.117-192,,,,,工2号館図書室|Engineering Bldg. 2 Library,,a81ebcc9-b623-4443-9495-03b1b4a6ca2e,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/a81ebcc9-b623-4443-9495-03b1b4a6ca2e,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68960,,,0
The Production of Glycerine by Fermentation,友田 宜孝|Tomoda Yoshinori,醱酵法に依るグリセリンの製法,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,6,p.193-205,,,,,工2号館図書室|Engineering Bldg. 2 Library,,00b78822-8863-4ef6-a9f5-ce5ce36cfba1,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/00b78822-8863-4ef6-a9f5-ce5ce36cfba1,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68961,,,0
On the Equilibrium of Gases in the Reaction of Explosives,山家 信次|Yamaga Nobuji,火藥反應に於ける瓦斯の平衡に就て,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,7,p.207-271,,,,,工2号館図書室|Engineering Bldg. 2 Library,,8422b133-a5e4-4558-b1af-e897fad347e7,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/8422b133-a5e4-4558-b1af-e897fad347e7,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68962,,,0
Studies on Naphthenic Acids. III. Naphthenic Acids derived from Katsurané Kerosene Distillate,田中 芳男|永井 彰一郎|Tanaka Yoshio|Nagai Shoichiro,石油ナフテン酸の研究(第三報)、秋田桂根系燈油分より得たるナフテン酸,紀要論文|Bulletin Paper,英語|English,1924,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,8,p.271-279,,,,,工2号館図書室|Engineering Bldg. 2 Library,,d3f0f24a-3276-45b5-8d01-01013c104076,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/d3f0f24a-3276-45b5-8d01-01013c104076,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68963,,,0
Optimum Content of Camphor in Celluliod,厚木 勝基|Atsuki Katsumoto,セルロイドの好適樟腦含有量其他三篇,紀要論文|Bulletin Paper,英語|English,1925,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,9,p.281-290,,,,,工2号館図書室|Engineering Bldg. 2 Library,,cedfd112-de5c-41ff-a8f1-f5884002becc,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/cedfd112-de5c-41ff-a8f1-f5884002becc,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68964,,,0
Acetanilide and urea as the plastizer and stabilizer of cellulose nitrate in celluloid,厚木 勝基|Atsuki Katsumoto,,紀要論文|Bulletin Paper,英語|English,1925,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,9,p.291-302,,,,,工2号館図書室|Engineering Bldg. 2 Library,,578a6ddb-e008-4e1d-a6a8-ecbc08073551,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/578a6ddb-e008-4e1d-a6a8-ecbc08073551,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68965,,,0
The Effect of Zinc white on the Stability of Celluloid,厚木 勝基|Atsuki Katsumoto,,紀要論文|Bulletin Paper,英語|English,1925,AA00697708,"Journal of the Faculty of Engineering, Tokyo Imperial University = 東京帝國大學工學部紀要",15,9,p.303-308,,,,,工2号館図書室|Engineering Bldg. 2 Library,,0c41bc4a-c167-4df1-9169-224354d30ba3,https://curation.library.t.u-tokyo.ac.jp,https://curation.library.t.u-tokyo.ac.jp/s/db/record/0c41bc4a-c167-4df1-9169-224354d30ba3,https://curation.library.t.u-tokyo.ac.jp/s/db/page/license,,https://curation.library.t.u-tokyo.ac.jp/api/items/68966,,,0
